date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,year,month,month_sin,month_cos,implied_exchange_rate,lag1,lag2,rolling_mean_3,rolling_std_3,city_target_encoded,commodity_target_encoded
2014-04-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,125.08,1.3,2014,4,0.8660254037844387,-0.4999999999999998,96.21538454137277,123.08,123.08,123.74666666666667,1.1547005383792495,191.90903069466881,300.4690658174097
2014-06-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,143.08,1.45,2014,6,1.2246467991473532e-16,-1.0,98.6758620009132,125.08,123.08,130.41333333333333,11.015141094572199,191.90903069466881,300.4690658174097
2014-07-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,143.08,1.45,2014,7,-0.4999999999999997,-0.8660254037844388,98.6758620009132,143.08,125.08,137.08,10.392304845413234,191.90903069466881,300.4690658174097
2014-08-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,150.58,1.51,2014,8,-0.8660254037844385,-0.5000000000000004,99.7218542385948,143.08,143.08,145.58,4.330127018922,191.90903069466881,300.4690658174097
2014-09-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,143.08,1.39,2014,9,-1.0,-1.8369701987210297e-16,102.93525172450703,150.58,143.08,145.58,4.330127018922,191.90903069466881,300.4690658174097
2014-11-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,153.08,1.51,2014,11,-0.5000000000000004,0.8660254037844384,101.3774833765712,143.08,150.58,148.91333333333333,5.204164998665155,191.90903069466881,300.4690658174097
2015-04-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,153.08,1.5,2015,4,0.8660254037844387,-0.4999999999999998,102.05333326529778,153.08,143.08,149.74666666666667,5.773502691896093,191.90903069466881,300.4690658174097
2015-05-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,168.08,1.65,2015,5,0.49999999999999994,-0.8660254037844387,101.8666666049293,153.08,153.08,158.08,8.660254037844245,191.90903069466881,300.4690658174097
2015-06-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,173.08,1.7,2015,6,1.2246467991473532e-16,-1.0,101.81176464599308,168.08,153.08,164.74666666666667,10.408329997330526,191.90903069466881,300.4690658174097
2015-07-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,177.08,1.74,2015,7,-0.4999999999999997,-0.8660254037844388,101.77011488404017,173.08,168.08,172.74666666666667,4.509249752822526,191.90903069466881,300.4690658174097
2015-12-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,241.42,2.31,2015,12,-2.4492935982947064e-16,1.0,104.51082246557972,177.08,173.08,197.19333333333336,38.353598701208305,191.90903069466881,300.4690658174097
2016-01-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,258.03,2.46,2016,1,0.49999999999999994,0.8660254037844387,104.8902438598007,241.42,177.08,225.51,42.75595514077532,191.90903069466881,300.4690658174097
2016-03-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,264.96,2.53,2016,3,1.0,6.123233995736766e-17,104.72727268587855,258.03,241.42,254.8033333333333,12.097166334862237,191.90903069466881,300.4690658174097
2016-06-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,273.23,2.62,2016,6,1.2246467991473532e-16,-1.0,104.28625950218081,264.96,258.03,265.4066666666667,7.609837930818496,191.90903069466881,300.4690658174097
2016-07-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,273.46,2.61,2016,7,-0.4999999999999997,-0.8660254037844388,104.77394632000997,273.23,264.96,270.55,4.842447728162891,191.90903069466881,300.4690658174097
2016-08-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,270.34,2.58,2016,8,-0.8660254037844385,-0.5000000000000004,104.78294569582054,273.46,273.23,272.3433333333333,1.7387447579570559,191.90903069466881,300.4690658174097
2016-09-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,253.08,2.42,2016,9,-1.0,-1.8369701987210297e-16,104.57851235347997,270.34,273.46,265.62666666666667,10.977145955726522,191.90903069466881,300.4690658174097
2016-10-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,231.92,2.22,2016,10,-0.8660254037844386,0.5000000000000001,104.46846842141058,253.08,270.34,251.78,19.242962349908375,191.90903069466881,300.4690658174097
2016-12-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,186.46,1.78,2016,12,-2.4492935982947064e-16,1.0,104.75280892991415,231.92,253.08,223.82000000000002,34.040616915678754,191.90903069466881,300.4690658174097
2017-01-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,170.82,1.63,2017,1,0.49999999999999994,0.8660254037844387,104.79754594797696,186.46,231.92,196.4,31.739647130993717,191.90903069466881,300.4690658174097
2017-02-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,158.56,1.51,2017,2,0.8660254037844386,0.5000000000000001,105.00662244701547,170.82,186.46,171.9466666666667,13.984081426155017,191.90903069466881,300.4690658174097
2017-03-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,151.96,1.45,2017,3,1.0,6.123233995736766e-17,104.79999992772414,158.56,170.82,160.4466666666667,9.570503295717218,191.90903069466881,300.4690658174097
2017-04-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,153.56,1.47,2017,4,0.8660254037844387,-0.4999999999999998,104.46258496295061,151.96,158.56,154.69333333333336,3.4428670223136226,191.90903069466881,300.4690658174097
2017-05-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,171.68,1.64,2017,5,0.49999999999999994,-0.8660254037844387,104.68292676543724,153.56,151.96,159.0666666666667,10.952722644773507,191.90903069466881,300.4690658174097
2017-08-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,176.5,1.68,2017,8,-0.8660254037844385,-0.5000000000000004,105.05952374698838,171.68,153.56,167.2466666666667,12.095525343420757,191.90903069466881,300.4690658174097
2017-09-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,163.27,1.55,2017,9,-1.0,-1.8369701987210297e-16,105.33548380300937,176.5,171.68,170.48333333333335,6.695687666949037,191.90903069466881,300.4690658174097
2017-10-15,SINDH,Karachi,Karachi,293,24.91,67.08,pulses and nuts,Beans(mash),326,KG,actual,Retail,PKR,147.31,1.4,2017,10,-0.8660254037844386,0.5000000000000001,105.2214284962704,163.27,176.5,162.36,14.616261491913738,191.90903069466881,300.4690658174097
