date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2004-01-15,PUNJAB,Lahore,Lahore,291,31.55,74.34,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,11.75,0.21
2004-01-15,PUNJAB,Multan,Multan,292,30.2,71.48,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,19,0.33
2004-01-15,SINDH,Karachi,Karachi,293,24.91,67.08,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,18.62,0.33
2004-01-15,SINDH,Karachi,Karachi,293,24.91,67.08,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,14.01,0.25
2004-02-15,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,294,34.01,71.58,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12.21,0.21
2004-02-15,PUNJAB,Lahore,Lahore,291,31.55,74.34,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,11.75,0.21
2004-02-15,PUNJAB,Multan,Multan,292,30.2,71.48,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,19,0.33
2004-02-15,PUNJAB,Multan,Multan,292,30.2,71.48,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12.5,0.22
2004-02-15,SINDH,Karachi,Karachi,293,24.91,67.08,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,18.62,0.32
2004-02-15,SINDH,Karachi,Karachi,293,24.91,67.08,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,14.56,0.25
2004-03-15,BALOCHISTAN,Quetta,Quetta,295,30.19,67.01,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,20,0.35
2004-03-15,BALOCHISTAN,Quetta,Quetta,295,30.19,67.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,14.25,0.25
2004-03-15,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,294,34.01,71.58,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,17,0.3
2004-03-15,PUNJAB,Lahore,Lahore,291,31.55,74.34,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,11.75,0.2
2004-03-15,PUNJAB,Multan,Multan,292,30.2,71.48,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12.82,0.22
2004-04-15,BALOCHISTAN,Quetta,Quetta,295,30.19,67.01,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,21,0.37
2004-04-15,BALOCHISTAN,Quetta,Quetta,295,30.19,67.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12.5,0.22
2004-04-15,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,294,34.01,71.58,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,17.34,0.3
2004-04-15,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,294,34.01,71.58,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12,0.21
2004-04-15,PUNJAB,Lahore,Lahore,291,31.55,74.34,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,11.76,0.21
2004-04-15,PUNJAB,Multan,Multan,292,30.2,71.48,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,19,0.33
2004-04-15,PUNJAB,Multan,Multan,292,30.2,71.48,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12,0.21
2004-04-15,SINDH,Karachi,Karachi,293,24.91,67.08,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,13.09,0.23
2004-05-15,BALOCHISTAN,Quetta,Quetta,295,30.19,67.01,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,21,0.36
2004-05-15,BALOCHISTAN,Quetta,Quetta,295,30.19,67.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,13.25,0.23
2004-05-15,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,294,34.01,71.58,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,17.5,0.3
2004-05-15,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,294,34.01,71.58,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12.07,0.21
2004-05-15,PUNJAB,Lahore,Lahore,291,31.55,74.34,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12.07,0.21
2004-05-15,PUNJAB,Multan,Multan,292,30.2,71.48,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,19,0.33
2004-05-15,PUNJAB,Multan,Multan,292,30.2,71.48,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12,0.21
2004-05-15,SINDH,Karachi,Karachi,293,24.91,67.08,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,18.62,0.32
2004-05-15,SINDH,Karachi,Karachi,293,24.91,67.08,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,14.94,0.26
2004-06-15,BALOCHISTAN,Quetta,Quetta,295,30.19,67.01,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,21,0.36
2004-06-15,BALOCHISTAN,Quetta,Quetta,295,30.19,67.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,13.4,0.23
2004-06-15,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,294,34.01,71.58,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,17.58,0.31
2004-06-15,KHYBER PAKHTUNKHWA,Peshawar,Peshawar,294,34.01,71.58,cereals and tubers,Wheat flour,58,KG,actual,Retail,PKR,12,0.21
2004-06-15,PUNJAB,Lahore,Lahore,291,31.55,74.34,cereals and tubers,"Rice (basmati, broken)",122,KG,actual,Retail,PKR,19.79,0.34
